X,Y,Combined Metric,Mean Elevation,Mean Slope,Mean Curvature,Mean TRI
6,0,303.34723,130.97571,11.27194,3.6744,157.42517
6,0,303.34723,130.97571,11.27194,3.6744,157.42517
10,7,284.7432,212.16284,8.01285,6.710318,57.85719
10,7,284.7432,212.16284,8.01285,6.710318,57.85719
4,8,268.2121,116.57513,18.79916,9.32522,123.51259
4,8,268.2121,116.57513,18.79916,9.32522,123.51259
7,0,266.68036,116.15297,10.092083,3.6624281,136.77289
7,0,266.68036,116.15297,10.092083,3.6624281,136.77289
9,5,263.44876,154.94539,15.1159725,11.337223,82.05018
9,5,263.44876,154.94539,15.1159725,11.337223,82.05018
5,6,228.98172,147.51407,10.8071165,5.531476,65.12906
5,6,228.98172,147.51407,10.8071165,5.531476,65.12906
1,3,226.3708,76.403076,11.102388,5.700758,133.16458
1,3,226.3708,76.403076,11.102388,5.700758,133.16458
4,10,226.29933,67.8998,12.715784,11.847486,133.83626
4,10,226.29933,67.8998,12.715784,11.847486,133.83626
11,9,201.0926,164.90703,4.986364,2.652586,28.546637
11,9,201.0926,164.90703,4.986364,2.652586,28.546637
5,3,197.30809,37.27176,7.5625196,7.9474306,144.52638
5,3,197.30809,37.27176,7.5625196,7.9474306,144.52638
8,10,192.96655,93.38197,9.108265,3.6040368,86.87229
8,10,192.96655,93.38197,9.108265,3.6040368,86.87229
4,5,190.87564,87.69932,7.7947826,3.6079693,91.773575
4,5,190.87564,87.69932,7.7947826,3.6079693,91.773575
10,8,188.40816,150.69902,5.964534,2.1038775,29.64072
10,8,188.40816,150.69902,5.964534,2.1038775,29.64072
11,8,187.88812,150.34106,3.778997,1.7106407,32.057426
11,8,187.88812,150.34106,3.778997,1.7106407,32.057426
4,2,185.2896,36.65494,6.683592,1.9871554,139.96391
4,2,185.2896,36.65494,6.683592,1.9871554,139.96391
1,1,183.20294,48.584484,4.5398045,5.8479443,124.23071
1,1,183.20294,48.584484,4.5398045,5.8479443,124.23071
8,9,172.34015,75.32413,5.394886,2.057097,89.56403
8,9,172.34015,75.32413,5.394886,2.057097,89.56403
4,6,164.49329,81.71966,9.426655,3.9827495,69.36422
4,6,164.49329,81.71966,9.426655,3.9827495,69.36422
10,9,155.58702,99.384346,5.6042223,2.5499864,48.048462
10,9,155.58702,99.384346,5.6042223,2.5499864,48.048462
9,8,155.45227,93.09789,6.2753887,2.309529,53.76945
9,8,155.45227,93.09789,6.2753887,2.309529,53.76945
3,8,151.26694,57.070644,11.326798,5.768082,77.10141
3,8,151.26694,57.070644,11.326798,5.768082,77.10141
6,3,149.445,27.055956,6.887244,2.5851257,112.91669
6,3,149.445,27.055956,6.887244,2.5851257,112.91669
3,9,148.64444,46.928757,14.153937,9.106993,78.45474
3,9,148.64444,46.928757,14.153937,9.106993,78.45474
11,1,144.77568,19.04216,6.3345284,2.131812,117.26718
11,1,144.77568,19.04216,6.3345284,2.131812,117.26718
4,7,140.2841,55.57097,9.1460495,4.44285,71.12424
4,7,140.2841,55.57097,9.1460495,4.44285,71.12424
7,2,133.76884,22.605787,4.357308,1.0704931,105.73525
7,2,133.76884,22.605787,4.357308,1.0704931,105.73525
11,10,133.73044,80.869446,5.265589,2.1053262,45.49008
11,10,133.73044,80.869446,5.265589,2.1053262,45.49008
1,2,128.83884,39.77565,5.280048,1.5653546,82.21778
1,2,128.83884,39.77565,5.280048,1.5653546,82.21778
10,11,123.60456,65.50275,4.1283293,2.1779234,51.795563
10,11,123.60456,65.50275,4.1283293,2.1779234,51.795563
8,0,121.390945,33.637726,2.9527552,1.910897,82.88957
8,0,121.390945,33.637726,2.9527552,1.910897,82.88957
2,8,114.28489,34.56758,9.100263,3.8610592,66.75599
2,8,114.28489,34.56758,9.100263,3.8610592,66.75599
8,1,109.63862,19.268335,4.0317087,1.1334872,85.205086
8,1,109.63862,19.268335,4.0317087,1.1334872,85.205086
10,10,107.08742,51.9758,4.3157134,1.7121607,49.08374
10,10,107.08742,51.9758,4.3157134,1.7121607,49.08374
1,4,104.90207,21.517708,5.8867784,4.634011,72.86357
1,4,104.90207,21.517708,5.8867784,4.634011,72.86357
8,8,93.58078,40.474594,4.309904,2.4740655,46.322216
8,8,93.58078,40.474594,4.309904,2.4740655,46.322216
9,11,91.44536,36.185013,2.6607845,1.1322861,51.467274
9,11,91.44536,36.185013,2.6607845,1.1322861,51.467274
5,7,90.09246,31.513721,4.2587466,3.3386593,50.98133
